"Year"	"USFWBand"	"JayID"	"NatalNest"	"TerrYr.x"	"Terr"	"HatchDate"	"FldgDate"	"LastObsDate"	"Mass"	"MeasDate"	"HatchNum"	"FldgNum"	"Days"	"Years"	"Censor"	"Day11"	"Help"	"HelpNum"	"dadband"	"NestYear.x"	"TerrYr.y"	"dadid"	"dadexp"	"dadage"	"momband"	"NestYear.y"	"TerrYr"	"momid"	"momexp"	"momage"	"CountofJayID"	"NumTerr"	"Den"
"28"	"1983"	"1423-42749"	"S-On"	"SIXS831"	"SIXS83"	"SIXS"	1983-04-29	4885	4898	39	1983-05-10	3	3	13	0.04	1	11	1	1	"1383-27125"	"1983"	"SIXS83"	"L-SF"	1	5	"1423-42665"	"1983"	"SIXS83"	"R-AZ"	1	3	113	35	3.22857142857143
"29"	"1984"	"1423-42856"	"SG-n"	"MILW841"	"MILW84"	"MILW"	1984-04-22	5243	5264	46	1984-05-03	3	3	21	0.06	1	11	0	0	"1383-27299"	"1984"	"MILW84"	"GS-A"	0	2	"1423-42850"	"1984"	"MILW84"	"Y-OZ"	0	2	110	37	2.97297297297297
"30"	"1984"	"1423-42857"	"SA-O"	"CTRW841"	"CTRW84"	"CTRW"	1984-04-23	5242	5674	49.5	1984-05-04	1	1	432	1.18	0	11	1	1	"1423-42644"	"1984"	"CTRW84"	"R-PZ"	1	3	"1423-42899"	"1984"	"CTRW84"	"Y-AZ"	0	2	110	37	2.97297297297297
"31"	"1984"	"1423-42866"	"SY-L"	"SSAN841"	"SSAN84"	"SSAN"	1984-05-01	5253	7197	48.5	1984-05-12	2	2	1944	5.32	0	11	0	0	"1423-42637"	"1984"	"SSAN84"	"LS-L"	0	2	"1423-42619"	"1984"	"SSAN84"	"GS-F"	0	2	110	37	2.97297297297297
"32"	"1984"	"1423-42867"	"SB-n"	"SSAN841"	"SSAN84"	"SSAN"	1984-05-01	5253	5264	50.7	1984-05-12	2	2	11	0.03	1	11	0	0	"1423-42637"	"1984"	"SSAN84"	"LS-L"	0	2	"1423-42619"	"1984"	"SSAN84"	"GS-F"	0	2	110	37	2.97297297297297
"33"	"1984"	"1423-42869"	"SO-P"	"MBEN841"	"MBEN84"	"MBEN"	1984-05-03	5252	5519	54.7	1984-05-14	2	2	267	0.73	1	11	1	1	"1383-27226"	"1984"	"MBEN84"	"GLS-"	0	3	"1433-93066"	"1984"	"MBEN84"	"YOS="	0	3	110	37	2.97297297297297
"34"	"1984"	"1423-42871"	"SF-n"	"RATL841"	"RATL84"	"RATL"	1984-05-06	5255	5275	45.5	1984-05-17	3	3	20	0.05	1	11	0	0	"1423-42783"	"1984"	"RATL84"	"Y-GZ"	0	2	"1423-42635"	"1984"	"RATL84"	"YS-A"	0	2	110	37	2.97297297297297
"35"	"1984"	"1423-42874"	"SA-R"	"WCPR842"	"WCPR84"	"WCPR"	1984-05-18	5269	5404	46.3	1984-05-29	2	2	135	0.37	1	11	1	1	"1383-27187"	"1984"	"WCPR84"	"-PLS"	1	4	"1383-27164"	"1984"	"WCPR84"	"-WRS"	1	4	110	37	2.97297297297297
"36"	"1984"	"1423-42828"	"SG-F"	"ROSE842"	"ROSE84"	"ROSE"	1984-04-16	5237	5369	43	1984-04-27	3	3	132	0.36	1	11	1	2	"1383-27178"	"1984"	"ROSE84"	"-BPS"	2	4	"1383-27154"	"1984"	"ROSE84"	"YG-S"	2	5	110	37	2.97297297297297
"37"	"1984"	"1043-44202"	"SP-L"	"FARS843"	"FARS84"	"FARS"	1984-04-21	5241	5699	47.1	1984-05-02	2	2	458	1.25	0	11	1	3	"1423-42819"	"1984"	"FARS84"	"Y-BZ"	0	2	"1383-27190"	"1984"	"FARS84"	"A-SB"	3	5	110	37	2.97297297297297
