"USFWBand"	"JayID"	"NatalNest"	"TerrYr"	"Terr"	"Year"	"HatchDate"	"FldgDate"	"LastObsDate"	"Mass"	"MeasDate"	"HatchNum"	"FldgNum"	"Days"	"Years"	"Censor"	"Day11"	"Help"	"HelpNum"	"SexIND"	"FBreeder"	"FUSFWBand"	"MBreeder"	"MUSFWBand"	"famid"
"1117"	"1513-50713"	"-RAC"	"MERL001"	"MERL00"	"MERL"	"2000"	2000-04-09	11075	11423	41.5	2000-04-20	4	4	348	0.95	1	11	0	0	2	"-FZG"	"1453-78280"	"-RZY"	"1453-78370"	1
"1118"	"1513-50714"	"-GnC"	"MERL001"	"MERL00"	"MERL"	"2000"	2000-04-09	11075	11131	36	2000-04-20	4	4	56	0.15	1	11	0	0	2	"-FZG"	"1453-78280"	"-RZY"	"1453-78370"	1
"1119"	"1513-50715"	"-YAC"	"MERL001"	"MERL00"	"MERL"	"2000"	2000-04-09	11075	11456	31	2000-04-20	4	4	381	1.04	0	11	0	0	1	"-FZG"	"1453-78280"	"-RZY"	"1453-78370"	1
"1120"	"1513-50716"	"-WWC"	"LOPZ002"	"LOPZ00"	"LOPZ"	"2000"	2000-04-10	11074	11515	44.2	2000-04-21	4	4	441	1.21	0	11	1	4	2	"-LZP"	"1453-78305"	"Z-WR"	"1453-63509"	1
"1121"	"1513-50717"	"-RWC"	"LOPZ002"	"LOPZ00"	"LOPZ"	"2000"	2000-04-10	11074	13129	46.7	2000-04-21	4	4	2055	5.63	0	11	1	4	1	"-LZP"	"1453-78305"	"Z-WR"	"1453-63509"	1
"1122"	"1513-50718"	"-GWC"	"LOPZ002"	"LOPZ00"	"LOPZ"	"2000"	2000-04-10	11074	15322	50.4	2000-04-21	4	4	4248	11.63	0	11	1	4	2	"-LZP"	"1453-78305"	"Z-WR"	"1453-63509"	1
"1123"	"1513-50720"	"-WYC"	"NPOL002"	"NPOL00"	"NPOL"	"2000"	2000-04-10	11075	11851	45.4	2000-04-21	3	3	776	2.12	0	11	1	3	1	"B-OM"	"1453-63698"	"G-OM"	"1453-57404"	1
"1124"	"1513-50721"	"-RYC"	"NPOL002"	"NPOL00"	"NPOL"	"2000"	2000-04-10	11075	13466	49.8	2000-04-21	3	3	2391	6.55	0	11	1	3	2	"B-OM"	"1453-63698"	"G-OM"	"1453-57404"	1
"1125"	"1513-50722"	"-GYC"	"NPOL002"	"NPOL00"	"NPOL"	"2000"	2000-04-10	11075	12282	43.8	2000-04-21	3	3	1207	3.3	0	11	1	3	1	"B-OM"	"1453-63698"	"G-OM"	"1453-57404"	1
"1126"	"1513-50723"	"-FGC"	"EBAY001"	"EBAY00"	"EBAY"	"2000"	2000-04-11	11074	11211	43	2000-04-22	3	2	137	0.38	1	11	1	2	2	"Z-GB"	"1453-63548"	"ZY-B"	"1453-72740"	1
"1127"	"1513-50724"	"-AnC"	"EBAY001"	"EBAY00"	"EBAY"	"2000"	2000-04-11	11074	11105	49	2000-04-22	3	2	31	0.08	1	11	1	2	1	"Z-GB"	"1453-63548"	"ZY-B"	"1453-72740"	1
"1128"	"1513-50726"	"-BYC"	"VALL002"	"VALL00"	"VALL"	"2000"	2000-04-11	11075	14566	47.2	2000-04-22	3	3	3491	9.56	0	11	0	0	1	"R-YQ"	"1043-90575"	"-BZR"	"1453-78267"	1
"1129"	"1513-50728"	"-WnC"	"EQUS001"	"EQUS00"	"EQUS"	"2000"	2000-04-15	11080	11087	46.7	2000-04-26	3	3	7	0.02	1	11	1	1	1	"WYZ="	"1433-58330"	"AZY-"	"1453-78137"	1
"1130"	"1513-50729"	"-RRC"	"EQUS001"	"EQUS00"	"EQUS"	"2000"	2000-04-15	11080	11456	45	2000-04-26	3	3	376	1.03	0	11	1	1	1	"WYZ="	"1433-58330"	"AZY-"	"1453-78137"	1
"1131"	"1513-50730"	"-GRC"	"EQUS001"	"EQUS00"	"EQUS"	"2000"	2000-04-15	11080	11274	36.3	2000-04-26	3	3	194	0.53	1	11	1	1	1	"WYZ="	"1433-58330"	"AZY-"	"1453-78137"	1
"1132"	"1513-50731"	"-OYC"	"SFLC001"	"SFLC00"	"SFLC"	"2000"	2000-04-15	11080	11241	50.3	2000-04-26	3	3	161	0.44	1	11	1	1	1	"ZWR-"	"1043-44220"	"ZFF-U"	"1513-02004"	1
"1133"	"1513-50732"	"-LYC"	"SFLC001"	"SFLC00"	"SFLC"	"2000"	2000-04-15	11080	15175	48.7	2000-04-26	3	3	4095	11.21	0	11	1	1	1	"ZWR-"	"1043-44220"	"ZFF-U"	"1513-02004"	1
"1134"	"1513-50733"	"-FYC"	"SFLC001"	"SFLC00"	"SFLC"	"2000"	2000-04-15	11080	12153	39.1	2000-04-26	3	3	1073	2.94	0	11	1	1	2	"ZWR-"	"1043-44220"	"ZFF-U"	"1513-02004"	1
"1135"	"1513-50735"	"-WBC"	"CTRN003"	"CTRN00"	"CTRN"	"2000"	2000-04-18	11083	11211	47	2000-04-29	3	3	128	0.35	1	11	1	3	2	"-OZP"	"1453-78304"	"U-WZB"	"1513-02430"	1
"1136"	"1513-50736"	"-RnC"	"CTRN003"	"CTRN00"	"CTRN"	"2000"	2000-04-18	11083	11087	47.8	2000-04-29	3	3	4	0.01	1	11	1	3	2	"-OZP"	"1453-78304"	"U-WZB"	"1513-02430"	1
"1137"	"1513-50737"	"-GnC"	"CTRN003"	"CTRN00"	"CTRN"	"2000"	2000-04-18	11083	11087	45.2	2000-04-29	3	3	4	0.01	1	11	1	3	2	"-OZP"	"1453-78304"	"U-WZB"	"1513-02430"	1
"1138"	"1513-50738"	"-YnC"	"SCOB002"	"SCOB00"	"SCOB"	"2000"	2000-04-18	11083	11087	52.7	2000-04-29	3	3	4	0.01	1	11	0	0	1	"-WZB"	"1453-78298"	"Z-GY"	"1453-63530"	1
"1139"	"1513-50739"	"-BBC"	"SCOB002"	"SCOB00"	"SCOB"	"2000"	2000-04-18	11083	11133	47.1	2000-04-29	3	3	50	0.14	1	11	0	0	1	"-WZB"	"1453-78298"	"Z-GY"	"1453-63530"	1
"1140"	"1513-50740"	"-PBC"	"SCOB002"	"SCOB00"	"SCOB"	"2000"	2000-04-18	11083	11423	46.3	2000-04-29	3	3	340	0.93	1	11	0	0	2	"-WZB"	"1453-78298"	"Z-GY"	"1453-63530"	1
"1141"	"1513-50741"	"-WPC"	"ANNI002"	"ANNI00"	"ANNI"	"2000"	2000-04-22	11087	11179	48.5	2000-05-03	4	2	92	0.25	1	11	1	2	2	"ZP-L"	"1453-78106"	"-ZWW"	"1043-90540"	1
"1142"	"1513-50742"	"-RPC"	"ANNI002"	"ANNI00"	"ANNI"	"2000"	2000-04-22	11087	13129	41.3	2000-05-03	4	2	2042	5.59	0	11	1	2	2	"ZP-L"	"1453-78106"	"-ZWW"	"1043-90540"	1
"1143"	"1513-50743"	"-GPC"	"POWL002"	"POWL00"	"POWL"	"2000"	2000-04-24	11088	11241	45	2000-05-05	5	4	153	0.42	1	11	1	3	2	"R-YM"	"1453-78058"	"ZO-O"	"1453-78067"	1
"1144"	"1513-50744"	"-YPC"	"POWL002"	"POWL00"	"POWL"	"2000"	2000-04-24	11088	11155	43.7	2000-05-05	5	4	67	0.18	1	11	1	3	1	"R-YM"	"1453-78058"	"ZO-O"	"1453-78067"	1
"1145"	"1513-50746"	"-PPC"	"POWL002"	"POWL00"	"POWL"	"2000"	2000-04-24	11088	12978	37.7	2000-05-05	5	4	1890	5.17	0	11	1	3	1	"R-YM"	"1453-78058"	"ZO-O"	"1453-78067"	1
"1146"	"1513-50749"	"-RnC"	"SCOP002"	"SCOP00"	"SCOP"	"2000"	2000-04-24	11088	11089	39.1	2000-05-05	3	2	1	0	1	11	0	0	1	"Z-FO"	"1453-63589"	"-RSA"	"1433-58370"	1
"1147"	"1513-50751"	"-FBC"	"WCPR002"	"WCPR00"	"WCPR"	"2000"	2000-04-24	11088	11423	43.6	2000-05-05	3	3	335	0.92	1	11	0	0	2	"OZF-U"	"1453-78207"	"G-YM"	"1163-68254"	1
"1148"	"1513-50752"	"-AnC"	"WCPR002"	"WCPR00"	"WCPR"	"2000"	2000-04-24	11088	11089	41.1	2000-05-05	3	3	1	0	1	11	0	0	1	"OZF-U"	"1453-78207"	"G-YM"	"1163-68254"	1
"1149"	"1513-50753"	"-GOC"	"MITA001"	"MITA00"	"MITA"	"2000"	2000-04-24	11087	11487	55.3	2000-05-05	3	3	400	1.1	0	11	1	2	1	"P-BM"	"1453-78114"	"Z-YW"	"1453-63539"	1
"1150"	"1513-50754"	"-YOC"	"MITA001"	"MITA00"	"MITA"	"2000"	2000-04-24	11087	11134	53.8	2000-05-05	3	3	47	0.13	1	11	1	2	1	"P-BM"	"1453-78114"	"Z-YW"	"1453-63539"	1
"1151"	"1513-50755"	"-BOC"	"MITA001"	"MITA00"	"MITA"	"2000"	2000-04-24	11087	11134	52.8	2000-05-05	3	3	47	0.13	1	11	1	2	1	"P-BM"	"1453-78114"	"Z-YW"	"1453-63539"	1
"1152"	"1513-50756"	"-OPC"	"KETH001"	"KETH00"	"KETH"	"2000"	2000-04-25	11090	11179	41.1	2000-05-06	2	2	89	0.24	1	11	0	0	2	"R-BQ"	"1513-50380"	"YZB-"	"1453-78231"	35
"1153"	"1513-50757"	"-LPC"	"KETH001"	"KETH00"	"KETH"	"2000"	2000-04-25	11090	11487	38.7	2000-05-06	2	2	397	1.09	0	11	0	0	1	"R-BQ"	"1513-50380"	"YZB-"	"1453-78231"	35
"1154"	"1513-50764"	"-LnC"	"ELIN004"	"ELIN00"	"ELIN"	"2000"	2000-05-13	11109	11135	48.5	2000-05-24	3	3	26	0.07	1	11	1	3	1	"O-LM"	"1453-78223"	"-PZL"	"1453-78321"	1
"1155"	"1513-50765"	"-FnC"	"ELIN004"	"ELIN00"	"ELIN"	"2000"	2000-05-13	11109	11123	47.9	2000-05-24	3	3	14	0.04	1	11	1	3	1	"O-LM"	"1453-78223"	"-PZL"	"1453-78321"	1
"1156"	"1513-50766"	"-AnC"	"ELIN004"	"ELIN00"	"ELIN"	"2000"	2000-05-13	11109	11141	36.1	2000-05-24	3	3	32	0.09	1	11	1	3	2	"O-LM"	"1453-78223"	"-PZL"	"1453-78321"	1
"1157"	"1513-50779"	"-BFC"	"MIDR004"	"MIDR00"	"MIDR"	"2000"	2000-05-23	11117	12153	41.5	2000-06-03	3	3	1036	2.84	0	11	1	1	2	"-LZR"	"1453-78270"	"U-YZF"	"1513-02459"	1
"1158"	"1513-50781"	"-OfHC"	"MIDR004"	"MIDR00"	"MIDR"	"2000"	2000-05-23	11117	15777	36.6	2000-06-03	3	3	4660	12.76	0	11	1	1	2	"-LZR"	"1453-78270"	"U-YZF"	"1513-02459"	1
"1159"	"1513-50782"	"-LRC"	"NMIT003"	"NMIT00"	"NMIT"	"2000"	2000-05-25	11122	11543	37	2000-06-05	3	3	421	1.15	0	11	0	0	2	"-YZY"	"1453-78372"	"Z-GP"	"1453-63559"	1
"1160"	"1513-50783"	"-FRC"	"NMIT003"	"NMIT00"	"NMIT"	"2000"	2000-05-25	11122	12093	40	2000-06-05	3	3	971	2.66	0	11	0	0	2	"-YZY"	"1453-78372"	"Z-GP"	"1453-63559"	1
"1161"	"1513-50784"	"-AnC"	"NMIT003"	"NMIT00"	"NMIT"	"2000"	2000-05-25	11122	11155	34.3	2000-06-05	3	3	33	0.09	1	11	0	0	1	"-YZY"	"1453-78372"	"Z-GP"	"1453-63559"	1
"1162"	"1513-50785"	"-LAC"	"POLA001"	"POLA00"	"POLA"	"2000"	2000-04-12	11077	11456	26.1	2000-04-23	3	1	379	1.04	0	11	1	2	2	"Z-OO"	"1453-63699"	"-PZB"	"1063-43189"	1
"1163"	"1513-50800"	"WWC-"	"PMPN011"	"PMPN01"	"PMPN"	"2001"	2001-03-27	11425	11515	40.8	2001-04-07	2	2	90	0.25	1	11	0	0	2	"ZYO-"	"1163-68273"	"ZGR-"	"1043-44222"	1
"1164"	"1513-50901"	"RWC-"	"PMPN011"	"PMPN01"	"PMPN"	"2001"	2001-03-27	11425	11515	44.2	2001-04-07	2	2	90	0.25	1	11	0	0	2	"ZYO-"	"1163-68273"	"ZGR-"	"1043-44222"	1
"1165"	"1513-50902"	"GnC-"	"SWSE011"	"SWSE01"	"SWSE"	"2001"	2001-03-29	11429	11459	44.2	2001-04-09	3	3	30	0.08	1	11	1	1	2	"L-FM"	"1453-78250"	"ZL-O"	"1453-78068"	36
"1166"	"1513-50903"	"YWC-"	"SWSE011"	"SWSE01"	"SWSE"	"2001"	2001-03-29	11429	11515	38.3	2001-04-09	3	3	86	0.24	1	11	1	1	1	"L-FM"	"1453-78250"	"ZL-O"	"1453-78068"	36
"1167"	"1513-50904"	"BWC-"	"SWSE011"	"SWSE01"	"SWSE"	"2001"	2001-03-29	11429	14566	44.7	2001-04-09	3	3	3137	8.59	0	11	1	1	1	"L-FM"	"1453-78250"	"ZL-O"	"1453-78068"	36
"1168"	"1513-50907"	"OnC-"	"ASPH011"	"ASPH01"	"ASPH"	"2001"	2001-04-03	11434	11436	37.4	2001-04-14	3	2	2	0.01	1	11	0	0	1	"R-FQ"	"1513-50372"	"R-OQ"	"1513-50384"	1
"1169"	"1513-50908"	"LnC-"	"ASPH011"	"ASPH01"	"ASPH"	"2001"	2001-04-03	11434	11436	32	2001-04-14	3	2	2	0.01	1	11	0	0	1	"R-FQ"	"1513-50372"	"R-OQ"	"1513-50384"	1
"1170"	"1513-50911"	"OnC-"	"SCRP011"	"SCRP01"	"SCRP"	"2001"	2001-04-10	11441	11456	46.6	2001-04-21	4	4	15	0.04	1	11	1	3	2	"Z-WF"	"1453-63595"	"Y-RM"	"1453-57411"	1
"1171"	"1513-50912"	"LRC-"	"SCRP011"	"SCRP01"	"SCRP"	"2001"	2001-04-10	11441	11912	49.7	2001-04-21	4	4	471	1.29	0	11	1	3	2	"Z-WF"	"1453-63595"	"Y-RM"	"1453-57411"	1
"1172"	"1513-50913"	"FRC-"	"SCRP011"	"SCRP01"	"SCRP"	"2001"	2001-04-10	11441	11701	40.7	2001-04-21	4	4	260	0.71	1	11	1	3	1	"Z-WF"	"1453-63595"	"Y-RM"	"1453-57411"	1
"1173"	"1513-50914"	"WnC-"	"SFLA011"	"SFLA01"	"SFLA"	"2001"	2001-04-11	11443	11480	45.7	2001-04-22	4	2	37	0.1	1	11	1	1	2	"-BZP"	"1063-43190"	"K-FZW"	"1063-43191"	1
"1174"	"1513-50915"	"RnC-"	"SFLA011"	"SFLA01"	"SFLA"	"2001"	2001-04-11	11443	11457	39.8	2001-04-22	4	2	14	0.04	1	11	1	1	2	"-BZP"	"1063-43190"	"K-FZW"	"1063-43191"	1
"1175"	"1513-50918"	"FWC-"	"JERE011"	"JERE01"	"JERE"	"2001"	2001-04-12	11441	13038	49.9	2001-04-23	2	2	1597	4.37	0	11	0	0	2	"R-RQ"	"1043-90573"	"Z-WY"	"1513-50330"	1
"1176"	"1513-50919"	"AWC-"	"JERE011"	"JERE01"	"JERE"	"2001"	2001-04-12	11441	11515	46.9	2001-04-23	2	2	74	0.2	1	11	0	0	2	"R-RQ"	"1043-90573"	"Z-WY"	"1513-50330"	1
"1177"	"1513-50920"	"ARC-"	"LINX011"	"LINX01"	"LINX"	"2001"	2001-04-12	11441	11515	49.2	2001-04-23	1	1	74	0.2	1	11	1	5	2	"ZF-W"	"1453-72749"	"Z-YW"	"1453-63539"	1
"1178"	"1513-50921"	"WGC-"	"SFLS011"	"SFLS01"	"SFLS"	"2001"	2001-04-12	11440	11515	49.8	2001-04-23	2	2	75	0.21	1	11	1	1	2	"L-OM"	"1453-78248"	"ZP-Y"	"1453-72784"	1
"1179"	"1513-50922"	"RGC-"	"SFLS011"	"SFLS01"	"SFLS"	"2001"	2001-04-12	11440	11605	48.3	2001-04-23	2	2	165	0.45	1	11	1	1	1	"L-OM"	"1453-78248"	"ZP-Y"	"1453-72784"	1
"1180"	"1513-50926"	"PGC-"	"ANNI011"	"ANNI01"	"ANNI"	"2001"	2001-04-13	11445	11820	47.3	2001-04-24	3	3	375	1.03	0	11	1	2	2	"ZP-L"	"1453-78106"	"-ZWW"	"1043-90540"	1
"1181"	"1513-50927"	"OGC-"	"ANNI011"	"ANNI01"	"ANNI"	"2001"	2001-04-13	11445	12031	33	2001-04-24	3	3	586	1.6	0	11	1	2	1	"ZP-L"	"1453-78106"	"-ZWW"	"1043-90540"	1
"1182"	"1513-50929"	"FnC-"	"SORA011"	"SORA01"	"SORA"	"2001"	2001-04-15	11444	11445	47.9	2001-04-26	3	2	1	0	1	11	0	0	1	"P-AM"	"1453-78075"	"ZF-P"	"1453-78041"	1
"1183"	"1513-50930"	"AnC-"	"SORA011"	"SORA01"	"SORA"	"2001"	2001-04-15	11444	11445	32	2001-04-26	3	2	1	0	1	11	0	0	2	"P-AM"	"1453-78075"	"ZF-P"	"1453-78041"	1
"1184"	"1513-50931"	"WBC-"	"MERL011"	"MERL01"	"MERL"	"2001"	2001-04-15	11444	13402	52	2001-04-26	3	3	1958	5.36	0	11	1	1	1	"-FZG"	"1453-78280"	"-RZY"	"1453-78370"	1
"1185"	"1513-50932"	"RBC-"	"MERL011"	"MERL01"	"MERL"	"2001"	2001-04-15	11444	11605	55.2	2001-04-26	3	3	161	0.44	1	11	1	1	1	"-FZG"	"1453-78280"	"-RZY"	"1453-78370"	1
"1186"	"1513-50937"	"OBC-"	"CACT011"	"CACT01"	"CACT"	"2001"	2001-04-19	11444	11851	50	2001-04-30	3	3	407	1.11	0	11	1	6	1	"ZLW-"	"1163-68260"	"W-FM"	"1063-42890"	1
"1187"	"1513-50938"	"PBC-"	"CACT011"	"CACT01"	"CACT"	"2001"	2001-04-19	11444	14442	48.7	2001-04-30	3	3	2998	8.21	0	11	1	6	2	"ZLW-"	"1163-68260"	"W-FM"	"1063-42890"	1
"1188"	"1513-50942"	"YPC-"	"WAHO011"	"WAHO01"	"WAHO"	"2001"	2001-04-22	11452	13677	43.5	2001-05-03	1	1	2225	6.09	0	11	0	0	1	"WO-ZU"	"1513-50246"	"WZW-"	"1453-78122"	1
"1189"	"1513-50943"	"BnC-"	"PLAZ011"	"PLAZ01"	"PLAZ"	"2001"	2001-04-24	11453	11468	49.1	2001-05-05	2	1	15	0.04	1	11	0	0	1	"-ZOR"	"1163-68298"	"ZOG-"	"1043-44237"	1
"1190"	"1513-50958"	"AnC-"	"PUMP012"	"PUMP01"	"PUMP"	"2001"	2001-04-30	11458	11461	50	2001-05-11	4	2	3	0.01	1	11	0	0	1	"ZAB-"	"1163-68268"	"ZRG-"	"1163-68249"	1
"1191"	"1513-50959"	"PnC-"	"RUSS011"	"RUSS01"	"RUSS"	"2001"	2001-05-01	11459	11467	45.3	2001-05-12	4	3	8	0.02	1	11	0	0	2	"WG-C"	"1513-50116"	"-OBZ"	"1453-38998"	1
"1192"	"1513-50960"	"OnC-"	"RUSS011"	"RUSS01"	"RUSS"	"2001"	2001-05-01	11459	11467	36.8	2001-05-12	4	3	8	0.02	1	11	0	0	1	"WG-C"	"1513-50116"	"-OBZ"	"1453-38998"	1
"1193"	"1513-50961"	"LLC-"	"RUSS011"	"RUSS01"	"RUSS"	"2001"	2001-05-01	11459	11543	37.2	2001-05-12	4	3	84	0.23	1	11	0	0	2	"WG-C"	"1513-50116"	"-OBZ"	"1453-38998"	1
"1194"	"1513-50962"	"WLC-"	"NMIT011"	"NMIT01"	"NMIT"	"2001"	2001-05-02	11461	11940	49.9	2001-05-13	3	3	479	1.31	0	11	1	3	2	"BG-C"	"1513-50356"	"Z-GP"	"1453-63559"	1
"1195"	"1513-50963"	"RLC-"	"NMIT011"	"NMIT01"	"NMIT"	"2001"	2001-05-02	11461	11940	56.1	2001-05-13	3	3	479	1.31	0	11	1	3	1	"BG-C"	"1513-50356"	"Z-GP"	"1453-63559"	1
"1196"	"1513-50964"	"GLC-"	"NMIT011"	"NMIT01"	"NMIT"	"2001"	2001-05-02	11461	11543	47.4	2001-05-13	3	3	82	0.22	1	11	1	3	1	"BG-C"	"1513-50356"	"Z-GP"	"1453-63559"	1
"1197"	"1513-50971"	"WRC-"	"SCOB011"	"SCOB01"	"SCOB"	"2001"	2001-05-03	11461	11505	50.5	2001-05-14	3	3	44	0.12	1	11	1	1	1	"LO-C"	"1513-50196"	"Z-GY"	"1453-63530"	1
"1198"	"1513-50973"	"GnC-"	"SCOB011"	"SCOB01"	"SCOB"	"2001"	2001-05-03	11461	11492	38.9	2001-05-14	3	3	31	0.08	1	11	1	1	2	"LO-C"	"1513-50196"	"Z-GY"	"1453-63530"	1
"1199"	"1513-50974"	"LBC-"	"XRDS012"	"XRDS01"	"XRDS"	"2001"	2001-05-05	11466	11820	51.4	2001-05-16	3	3	354	0.97	1	11	0	0	2	"ZO-YU"	"1453-72893"	"G-PM"	"1453-72701"	1
"1200"	"1513-50975"	"FBC-"	"XRDS012"	"XRDS01"	"XRDS"	"2001"	2001-05-05	11466	12214	50.3	2001-05-16	3	3	748	2.05	0	11	0	0	1	"ZO-YU"	"1453-72893"	"G-PM"	"1453-72701"	1
"1201"	"1513-50976"	"ABC-"	"XRDS012"	"XRDS01"	"XRDS"	"2001"	2001-05-05	11466	12244	36.6	2001-05-16	3	3	778	2.13	0	11	0	0	1	"ZO-YU"	"1453-72893"	"G-PM"	"1453-72701"	1
"1202"	"1513-50977"	"LnC-"	"NWES011"	"NWES01"	"NWES"	"2001"	2001-05-07	11467	11502	46.6	2001-05-18	3	3	35	0.1	1	11	0	0	1	"-RZW"	"1453-78349"	"-BZL"	"1063-43188"	1
"1203"	"1513-50978"	"FnC-"	"NWES011"	"NWES01"	"NWES"	"2001"	2001-05-07	11467	11487	48	2001-05-18	3	3	20	0.05	1	11	0	0	2	"-RZW"	"1453-78349"	"-BZL"	"1063-43188"	1
"1204"	"1513-50979"	"AnC-"	"NWES011"	"NWES01"	"NWES"	"2001"	2001-05-07	11467	11469	44.1	2001-05-18	3	3	2	0.01	1	11	0	0	2	"-RZW"	"1453-78349"	"-BZL"	"1063-43188"	1
"1205"	"1513-50980"	"BRC-"	"CHOP013"	"CHOP01"	"CHOP"	"2001"	2001-05-08	11467	15838	41	2001-05-19	3	3	4371	11.97	0	11	1	1	2	"BZB-"	"1453-78185"	"YZ-OK"	"1013-63445"	1
"1206"	"1513-50981"	"PRC-"	"CHOP013"	"CHOP01"	"CHOP"	"2001"	2001-05-08	11467	12796	45.8	2001-05-19	3	3	1329	3.64	0	11	1	1	1	"BZB-"	"1453-78185"	"YZ-OK"	"1013-63445"	1
"1207"	"1513-50982"	"ORC-"	"CHOP013"	"CHOP01"	"CHOP"	"2001"	2001-05-08	11467	14071	37.2	2001-05-19	3	3	2604	7.13	0	11	1	1	1	"BZB-"	"1453-78185"	"YZ-OK"	"1013-63445"	1
"1208"	"1513-50989"	"GWC-"	"CTRN013"	"CTRN01"	"CTRN"	"2001"	2001-05-10	11468	11879	39.3	2001-05-21	3	1	411	1.13	0	11	1	2	1	"-OZP"	"1453-78304"	"-PZB"	"1063-43189"	1
"1209"	"1513-50993"	"LGC-"	"FENC012"	"FENC01"	"FENC"	"2001"	2001-05-14	11472	14071	57.4	2001-05-25	3	2	2599	7.12	0	11	1	1	1	"Z-GO"	"1453-63577"	"Z-FL"	"1453-63667"	1
"1210"	"1513-50994"	"FGC-"	"FENC012"	"FENC01"	"FENC"	"2001"	2001-05-14	11472	11787	52.6	2001-05-25	3	2	315	0.86	1	11	1	1	2	"Z-GO"	"1453-63577"	"Z-FL"	"1453-63667"	1
"1211"	"1513-50996"	"WPC-"	"N18E016"	"N18E01"	"N18E"	"2001"	2001-05-23	11484	11758	48.1	2001-06-03	3	3	274	0.75	1	11	0	0	1	"F-WM"	"1453-78255"	"ZL-R"	"1453-72735"	1
"1212"	"1513-50997"	"RPC-"	"N18E016"	"N18E01"	"N18E"	"2001"	2001-05-23	11484	12153	47.3	2001-06-03	3	3	669	1.83	0	11	0	0	1	"F-WM"	"1453-78255"	"ZL-R"	"1453-72735"	1
"1213"	"1513-50998"	"GnC-"	"N18E016"	"N18E01"	"N18E"	"2001"	2001-05-23	11484	11485	36.8	2001-06-03	3	3	1	0	1	11	0	0	2	"F-WM"	"1453-78255"	"ZL-R"	"1453-72735"	1
"1214"	"1573-65903"	"C-GW"	"SCOP033"	"SCOP03"	"SCOP"	"2003"	2003-06-04	12220	12733	44.6	2003-06-15	2	2	513	1.4	0	11	1	1	2	"PLC-"	"1513-50992"	"YPC-"	"1513-50942"	1
"1215"	"1573-65911"	"CW-G"	"RUSS041"	"RUSS04"	"RUSS"	"2004"	2004-03-25	12519	12947	41.1	2004-04-05	3	2	428	1.17	0	11	1	1	2	"WG-C"	"1513-50116"	"PRC-"	"1513-50981"	1
"1216"	"1573-65920"	"CO-n"	"SFLA042"	"SFLA04"	"SFLA"	"2004"	2004-03-31	12528	12558	40.7	2004-04-11	4	3	30	0.08	1	11	1	1	2	"-BZP"	"1063-43190"	"K-FZW"	"1063-43191"	1
"1217"	"1573-65923"	"CH-R"	"WSIX041"	"WSIX04"	"WSIX"	"2004"	2004-04-01	12527	14071	49.9	2004-04-12	3	3	1544	4.23	0	11	1	1	2	"-ZFR"	"1043-90533"	"RR-C"	"1513-50111"	1
"1218"	"1573-65924"	"CB-R"	"WSIX041"	"WSIX04"	"WSIX"	"2004"	2004-04-01	12527	12978	54.5	2004-04-12	3	3	451	1.23	0	11	1	1	1	"-ZFR"	"1043-90533"	"RR-C"	"1513-50111"	1
"1219"	"1573-65925"	"CP-R"	"WSIX041"	"WSIX04"	"WSIX"	"2004"	2004-04-01	12527	14566	51.8	2004-04-12	3	3	2039	5.58	0	11	1	1	1	"-ZFR"	"1043-90533"	"RR-C"	"1513-50111"	1
"1220"	"1573-65926"	"CO-R"	"EBAY041"	"EBAY04"	"EBAY"	"2004"	2004-04-02	12529	12583	41.2	2004-04-13	4	4	54	0.15	1	11	1	3	2	"P-YQ"	"1063-43180"	"ZY-B"	"1453-72740"	1
"1221"	"1573-65927"	"CL-R"	"EBAY041"	"EBAY04"	"EBAY"	"2004"	2004-04-02	12529	13713	41.7	2004-04-13	4	4	1184	3.24	0	11	1	3	2	"P-YQ"	"1063-43180"	"ZY-B"	"1453-72740"	1
"1222"	"1573-65928"	"CF-R"	"EBAY041"	"EBAY04"	"EBAY"	"2004"	2004-04-02	12529	12583	41.1	2004-04-13	4	4	54	0.15	1	11	1	3	1	"P-YQ"	"1063-43180"	"ZY-B"	"1453-72740"	1
"1223"	"1573-65931"	"CR-n"	"MARI041"	"MARI04"	"MARI"	"2004"	2004-04-02	12527	12534	37.2	2004-04-13	3	2	7	0.02	1	11	0	0	2	"-RGC"	"1513-50789"	"YYC-U"	"1063-48697"	37
"1224"	"1573-65935"	"CA-n"	"ANNI043"	"ANNI04"	"ANNI"	"2004"	2004-04-04	12529	12885	51.1	2004-04-15	1	1	356	0.97	1	11	0	0	2	"ZP-L"	"1453-78106"	"-ZWW"	"1043-90540"	1
"1225"	"1573-65945"	"CB-n"	"HICE041"	"HICE04"	"HICE"	"2004"	2004-04-07	12534	12549	39.7	2004-04-18	4	4	15	0.04	1	11	1	1	1	"O-FC"	"1513-50793"	"Z-GA"	"1453-63663"	1
"1226"	"1573-65946"	"CP-n"	"HICE041"	"HICE04"	"HICE"	"2004"	2004-04-07	12534	12549	42.5	2004-04-18	4	4	15	0.04	1	11	1	1	1	"O-FC"	"1513-50793"	"Z-GA"	"1453-63663"	1
"1227"	"1573-65947"	"CO-H"	"HICE041"	"HICE04"	"HICE"	"2004"	2004-04-07	12534	12614	38.2	2004-04-18	4	4	80	0.22	1	11	1	1	2	"O-FC"	"1513-50793"	"Z-GA"	"1453-63663"	1
