"TerrYr"	"USFWBand"	"JayID"	"NatalNest"	"TerrYr.x"	"Terr"	"Year"	"HatchDate"	"FldgDate"	"LastObsDate"	"Mass"	"MeasDate"	"HatchNum"	"FldgNum"	"Days"	"Years"	"Censor"	"Day11"	"Help"	"HelpNum"	"TerrYr.y"	"dadid"	"dadexp"	"momband"	"momexp"	"momage"	"scrb.count"	"tsf.count"	"stdscr"	"centscr"	"stdtsf"	"centtsf"	"stdsize"	"centsize"
"28"	"ANGL08"	"1603-51714"	"-CPA"	"ANGL082"	"ANGL08"	"ANGL"	"2008"	2008-04-19	14006	14071	42.5	2008-04-30	3	3	65	0.18	1	11	1	3	"ANGL08"	"AC-W"	4	"1513-50980"	4	7	2463	4199	0.713558509893125	-607.460436137072	0.998649606550594	945.738940809969	0.674784759886047	-1539.6691588785
"29"	"ANGL09"	"1603-51857"	"YP-Q"	"ANGL092"	"ANGL09"	"ANGL"	"2009"	2009-04-15	14368	15357	37.5	2009-04-26	3	2	989	2.71	0	11	0	0	"ANGL09"	"AC-W"	5	"1513-50980"	5	8	3035	3138	0.879273275487468	-35.4604361370716	0.746311613564126	-115.261059190031	0.781510920888432	-857.669158878504
"30"	"ANGL09"	"1603-51858"	"YO-Q"	"ANGL092"	"ANGL09"	"ANGL"	"2009"	2009-04-15	14368	15012	37.6	2009-04-26	3	2	644	1.76	0	11	0	0	"ANGL09"	"AC-W"	5	"1513-50980"	5	8	3035	3138	0.879273275487468	-35.4604361370716	0.746311613564126	-115.261059190031	0.781510920888432	-857.669158878504
"31"	"ANGL10"	"1713-13901"	"-nOQ"	"ANGL102"	"ANGL10"	"ANGL"	"2010"	2010-05-19	14765	14766	43.4	2010-05-30	5	5	1	0	1	11	1	2	"ANGL10"	"-CBW"	0	"1513-50980"	6	9	2684	2559	0.777584669327303	-386.460436137072	0.608607845478202	-694.261059190031	0.687147467685444	-1460.6691588785
"32"	"ANGL10"	"1713-13903"	"-OHQ"	"ANGL102"	"ANGL10"	"ANGL"	"2010"	2010-05-19	14765	15322	37.4	2010-05-30	5	5	557	1.52	0	11	1	2	"ANGL10"	"-CBW"	0	"1513-50980"	6	9	2684	2559	0.777584669327303	-386.460436137072	0.608607845478202	-694.261059190031	0.687147467685444	-1460.6691588785
"33"	"ANGL10"	"1713-13700"	"-HPQ"	"ANGL102"	"ANGL10"	"ANGL"	"2010"	2010-05-19	14765	16295	42.2	2010-05-30	5	5	1530	4.19	0	11	1	2	"ANGL10"	"-CBW"	0	"1513-50980"	6	9	2684	2559	0.777584669327303	-386.460436137072	0.608607845478202	-694.261059190031	0.687147467685444	-1460.6691588785
"34"	"ANGL11"	"1713-13974"	"RYQ-"	"ANGL111"	"ANGL11"	"ANGL"	"2011"	2011-03-28	15081	15231	36.5	2011-04-08	4	4	150	0.41	1	11	1	2	"ANGL11"	"C-LG"	6	"1513-50980"	7	10	NA	NA	NA	NA	NA	NA	NA	NA
"35"	"ANGL11"	"1713-13971"	"RWQ-"	"ANGL111"	"ANGL11"	"ANGL"	"2011"	2011-03-28	15081	15266	41.9	2011-04-08	4	4	185	0.51	1	11	1	2	"ANGL11"	"C-LG"	6	"1513-50980"	7	10	NA	NA	NA	NA	NA	NA	NA	NA
"36"	"ANGL11"	"1713-13972"	"nRQ-"	"ANGL111"	"ANGL11"	"ANGL"	"2011"	2011-03-28	15081	15105	44.1	2011-04-08	4	4	24	0.07	1	11	1	2	"ANGL11"	"C-LG"	6	"1513-50980"	7	10	NA	NA	NA	NA	NA	NA	NA	NA
"37"	"ANGL11"	"1713-13973"	"RGQ-"	"ANGL111"	"ANGL11"	"ANGL"	"2011"	2011-03-28	15081	16330	45.8	2011-04-08	4	4	1249	3.42	0	11	1	2	"ANGL11"	"C-LG"	6	"1513-50980"	7	10	NA	NA	NA	NA	NA	NA	NA	NA
